run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	grid_size	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	1	2	left	0	0	right	(3, 4)	3	[(1, 0), (1, 3), (0, 0), (0, 3), (1, 1), (1, 2)]	[(1, 0), (1, 3), (0, 0), (0, 3), (2, 1), (0, 2)]	[(1, 0), (1, 3)]	[(0, 0), (0, 3)]	[(1, 1), (1, 2)]	True	7	4	3	0.5	0.0	7.5	40.000334083335474	1	40.0003345834557	0		False
1	1	2	right	1	1	right	(3, 4)	3	[(1, 2), (0, 1), (1, 3), (0, 2), (0, 3), (2, 2)]	[(1, 2), (0, 1), (1, 3), (0, 2), (2, 3), (2, 1)]	[(1, 2), (0, 1)]	[(1, 3), (0, 2)]	[(0, 3), (2, 2)]	True	7	4	3	0.5	7.5	15.0	47.50001362501644	1	47.50001479173079	0		False
1	1	2	left	0	2	right	(3, 4)	3	[(0, 3), (0, 0), (1, 0), (0, 2), (1, 3), (1, 2)]	[(0, 3), (0, 0), (0, 1), (1, 1), (1, 3), (1, 2)]	[(0, 3), (0, 0)]	[(1, 0), (0, 2)]	[(1, 3), (1, 2)]	True	7	4	3	0.5	15.0	22.5	55.000017000129446	1	55.0000186667312	0		False
1	1	2	left	0	3	right	(3, 4)	3	[(0, 3), (1, 1), (1, 2), (1, 0), (2, 0), (1, 3)]	[(2, 1), (0, 1), (1, 2), (1, 0), (2, 0), (1, 3)]	[(0, 3), (1, 1)]	[(1, 2), (1, 0)]	[(2, 0), (1, 3)]	True	7	4	3	0.5	22.5	30.0	62.50001395842992	1	62.500017000129446	0		False
1	1	2	left	0	0	right	(3, 4)	3	[(1, 0), (1, 3), (0, 0), (0, 3), (1, 1), (1, 2)]	[(1, 0), (1, 3), (0, 0), (0, 3), (2, 1), (0, 2)]	[(1, 0), (1, 3)]	[(0, 0), (0, 3)]	[(1, 1), (1, 2)]	True	7	4	3	0.5	0.0	7.5	215.0002560417633	1	215.0002565416508	0		False
1	1	2	right	1	1	right	(3, 4)	3	[(1, 2), (0, 1), (1, 3), (0, 2), (0, 3), (2, 2)]	[(1, 2), (0, 1), (1, 3), (0, 2), (2, 3), (2, 1)]	[(1, 2), (0, 1)]	[(1, 3), (0, 2)]	[(0, 3), (2, 2)]	True	7	4	3	0.5	7.5	15.0	222.50002058339305	1	222.5000222499948	0		False
1	1	2	left	0	2	right	(3, 4)	3	[(0, 3), (0, 0), (1, 0), (0, 2), (1, 3), (1, 2)]	[(0, 3), (0, 0), (0, 1), (1, 1), (1, 3), (1, 2)]	[(0, 3), (0, 0)]	[(1, 0), (0, 2)]	[(1, 3), (1, 2)]	True	7	4	3	0.5	15.0	22.5	230.0000210001599	1	230.0000225000549	0		False
1	1	2	left	0	3	right	(3, 4)	3	[(0, 3), (1, 1), (1, 2), (1, 0), (2, 0), (1, 3)]	[(2, 1), (0, 1), (1, 2), (1, 0), (2, 0), (1, 3)]	[(0, 3), (1, 1)]	[(1, 2), (1, 0)]	[(2, 0), (1, 3)]	True	7	4	3	0.5	22.5	30.0	237.5000182085205	1	237.50002129166387	0		False
2	1	2	left	0	0	right	(3, 4)	3	[(1, 0), (0, 0), (2, 0), (0, 1), (2, 1), (1, 1)]	[(1, 0), (0, 0), (2, 0), (0, 1), (1, 2), (2, 2)]	[(1, 0), (0, 0)]	[(2, 0), (0, 1)]	[(2, 1), (1, 1)]	True	7	4	3	0.5	0.0	7.5	250.00035466672853	1	250.0003552499693	0		False
2	1	2	right	1	1	right	(3, 4)	3	[(1, 3), (1, 1), (2, 3), (0, 1), (0, 0), (2, 2)]	[(1, 0), (1, 2), (2, 3), (0, 1), (0, 0), (2, 2)]	[(1, 3), (1, 1)]	[(2, 3), (0, 1)]	[(0, 0), (2, 2)]	True	7	4	3	0.5	7.5	15.0	257.5000247084536	1	257.5000260833185	0		False
2	1	2	right	1	2	right	(3, 4)	3	[(2, 1), (2, 3), (2, 0), (1, 3), (1, 0), (0, 3)]	[(1, 1), (2, 2), (2, 0), (1, 3), (1, 0), (0, 3)]	[(2, 1), (2, 3)]	[(2, 0), (1, 3)]	[(1, 0), (0, 3)]	True	7	4	3	0.5	15.0	22.5	265.00002029165626	1	265.0000220418442	0		False
2	1	2	left	0	3	right	(3, 4)	3	[(0, 1), (2, 2), (2, 3), (2, 1), (1, 3), (0, 0)]	[(1, 2), (0, 2), (2, 3), (2, 1), (1, 3), (0, 0)]	[(0, 1), (2, 2)]	[(2, 3), (2, 1)]	[(1, 3), (0, 0)]	True	7	4	3	0.5	22.5	30.0	272.50002033333294	1	272.5000219168141	0		False
1	1	2	left	0	0	right	(3, 4)	3	[(1, 0), (1, 3), (0, 0), (0, 3), (1, 1), (1, 2)]	[(1, 0), (1, 3), (0, 0), (0, 3), (2, 1), (0, 2)]	[(1, 0), (1, 3)]	[(0, 0), (0, 3)]	[(1, 1), (1, 2)]	True	7	4	3	0.5	0.0	7.5	145.0002189585939	1	145.0002196666319	0		False
1	1	2	right	1	1	right	(3, 4)	3	[(1, 2), (0, 1), (1, 3), (0, 2), (0, 3), (2, 2)]	[(1, 2), (0, 1), (1, 3), (0, 2), (2, 3), (2, 1)]	[(1, 2), (0, 1)]	[(1, 3), (0, 2)]	[(0, 3), (2, 2)]	True	7	4	3	0.5	7.5	15.0	152.5000147500541	1	152.5000153335277	0		False
1	1	2	left	0	2	right	(3, 4)	3	[(0, 3), (0, 0), (1, 0), (0, 2), (1, 3), (1, 2)]	[(0, 3), (0, 0), (0, 1), (1, 1), (1, 3), (1, 2)]	[(0, 3), (0, 0)]	[(1, 0), (0, 2)]	[(1, 3), (1, 2)]	True	7	4	3	0.5	15.0	22.5	160.0000168334227	1	160.00001750001684	0		False
1	1	2	left	0	3	right	(3, 4)	3	[(0, 3), (1, 1), (1, 2), (1, 0), (2, 0), (1, 3)]	[(2, 1), (0, 1), (1, 2), (1, 0), (2, 0), (1, 3)]	[(0, 3), (1, 1)]	[(1, 2), (1, 0)]	[(2, 0), (1, 3)]	True	7	4	3	0.5	22.5	30.0	167.50001120846719	1	167.50001183338463	0		False
