run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct	rt
1	1	2	3	4	0	bimanual	3.25	0.5	True	1 3 1 3 4 2	0.0	3.75	145.00017920834944	1	145.00017975014634	0.0	
1	1	2	3	4	1	bimanual	3.25	0.5	True	1 2 1 2 1 2	3.75	7.5	148.75001541688107	1	148.75001708348282	0.0	
1	1	2	3	4	2	bimanual	3.25	0.5	True	4 1 4 1 2 1	7.5	11.25	152.50001349998638	1	152.50001408345997	0.6666666666666666	0.7530639583710581
1	1	2	3	4	3	bimanual	3.25	0.5	True	2 1 4 2 4 3	11.25	15.0	156.25001258333214	1	156.25001333351247	1.0	0.4590519791624198
1	1	2	3	4	4	bimanual	3.25	0.5	True	2 3 2 1 2 4	15.0	18.75	160.00001308345236	1	160.00001387507655	0.0	
1	1	2	3	4	5	bimanual	3.25	0.5	True	3 4 1 3 2 1	18.75	22.5	163.7500124585349	1	163.75001395842992	0.0	
1	1	2	3	4	6	bimanual	3.25	0.5	True	1 4 2 3 4 1	22.5	26.25	167.50001254188828	1	167.5000147500541	0.0	
1	1	2	3	4	7	bimanual	3.25	0.5	True	4 2 4 2 4 1	26.25	30.0	171.25001291674562	1	171.2500147500541	0.0	
1	1	2	3	4	0	bimanual	3.25	0.5	True	1 3 1 3 4 2	0.0	3.75	40.00025541661307	1	40.00025595840998	0.0	
1	1	2	3	4	1	bimanual	3.25	0.5	True	1 2 1 2 1 2	3.75	7.5	43.750011041760445	1	43.75001245853491	0.0	
1	1	2	3	4	2	bimanual	3.25	0.5	True	4 1 4 1 2 1	7.5	11.25	47.50001020845957	1	47.50001154164784	0.0	
1	1	2	3	4	3	bimanual	3.25	0.5	True	2 1 4 2 4 3	11.25	15.0	51.25001600012183	1	51.25001933355816	0.0	
1	1	2	3	4	4	bimanual	3.25	0.5	True	2 3 2 1 2 4	15.0	18.75	55.00001237518154	1	55.00001566670835	0.0	
1	1	2	3	4	5	bimanual	3.25	0.5	True	3 4 1 3 2 1	18.75	22.5	58.75001487508416	1	58.75001670839265	0.0	
1	1	2	3	4	6	bimanual	3.25	0.5	True	1 4 2 3 4 1	22.5	26.25	62.50001316680573	1	62.50001437519677	0.0	
1	1	2	3	4	7	bimanual	3.25	0.5	True	4 2 4 2 4 1	26.25	30.0	66.25001312512904	1	66.25001612515189	0.0	
2	1	2	3	4	0	bimanual	3.25	0.5	True	1 2 4 2 1 2	0.0	3.75	180.00017550005578	1	180.00017595826648	0.0	
2	1	2	3	4	1	bimanual	3.25	0.5	True	1 4 2 1 2 4	3.75	7.5	183.7500159167685	1	183.75001724995676	0.0	
2	1	2	3	4	2	bimanual	3.25	0.5	True	1 4 3 2 1 2	7.5	11.25	187.5000165833626	1	187.50001783343032	0.0	
2	1	2	3	4	3	bimanual	3.25	0.5	True	4 2 4 3 2 4	11.25	15.0	191.25001633330248	1	191.25001754169352	0.0	
2	1	2	3	4	4	bimanual	3.25	0.5	True	2 4 2 3 1 3	15.0	18.75	195.0000140001066	1	195.00001537497155	0.0	
2	1	2	3	4	5	bimanual	3.25	0.5	True	3 4 1 4 3 1	18.75	22.5	198.7500142918434	1	198.7500163749792	0.0	
2	1	2	3	4	6	bimanual	3.25	0.5	True	4 3 4 2 4 1	22.5	26.25	202.5000112084672	1	202.5000123749487	0.0	
2	1	2	3	4	7	bimanual	3.25	0.5	True	4 2 1 3 4 2	26.25	30.0	206.2500116250012	1	206.25001287506893	0.0	
1	1	2	3	4	0	bimanual	3.25	0.5	True	1 3 1 3 4 2	0.0	3.75	75.00018125004135	1	75.00018183351494	0.0	
1	1	2	3	4	1	bimanual	3.25	0.5	True	1 2 1 2 1 2	3.75	7.5	78.75002366676927	1	78.75002425001003	0.16666666666666666	3.1548201667610556
1	1	2	3	4	2	bimanual	3.25	0.5	True	4 1 4 1 2 1	7.5	11.25	82.50001979176886	1	82.50002037500963	0.0	2.2899280418641865
1	1	2	3	4	3	bimanual	3.25	0.5	True	2 1 4 2 4 3	11.25	15.0	86.25002220855094	1	86.25002287491225	0.6666666666666666	0.7761278750258498
1	1	2	3	4	4	bimanual	3.25	0.5	True	2 3 2 1 2 4	15.0	18.75	90.00002858345397	1	90.00002916669473	0.0	0.4556244027723248
1	1	2	3	4	5	bimanual	3.25	0.5	True	3 4 1 3 2 1	18.75	22.5	93.75001650000922	1	93.75001712492667	0.16666666666666666	3.02961791632697
1	1	2	3	4	6	bimanual	3.25	0.5	True	1 4 2 3 4 1	22.5	26.25	97.5000237498898	1	97.50002437504008	0.16666666666666666	0.4305716388626024
1	1	2	3	4	7	bimanual	3.25	0.5	True	4 2 4 2 4 1	26.25	30.0	101.25002766679972	1	101.2500285001006	0.16666666666666666	2.773765333229676
