trial_num	stim	trial_type	hand	trial_dur	iti_dur	key_unpleasant	key_pleasant	display_trial_feedback	start_time	end_time
0	unpleasant11.jpg	1	left	1.6	0.4	3	4	True	0.0	2.0
1	pleasant13.jpg	2	left	1.6	0.4	3	4	True	2.0	4.0
2	unpleasant7.jpg	1	left	1.6	0.4	3	4	True	4.0	6.0
3	pleasant7.jpg	2	left	1.6	0.4	3	4	True	6.0	8.0
4	pleasant16.jpg	2	left	1.6	0.4	3	4	True	8.0	10.0
5	unpleasant1.jpg	1	left	1.6	0.4	3	4	True	10.0	12.0
6	unpleasant12.jpg	1	left	1.6	0.4	3	4	True	12.0	14.0
7	pleasant15.jpg	2	left	1.6	0.4	3	4	True	14.0	16.0
8	unpleasant21.jpg	1	left	1.6	0.4	3	4	True	16.0	18.0
9	unpleasant26.jpg	1	left	1.6	0.4	3	4	True	18.0	20.0
10	pleasant18.jpg	2	left	1.6	0.4	3	4	True	20.0	22.0
11	unpleasant23.jpg	1	left	1.6	0.4	3	4	True	22.0	24.0
12	unpleasant14.jpg	1	left	1.6	0.4	3	4	True	24.0	26.0
13	pleasant6.jpg	2	left	1.6	0.4	3	4	True	26.0	28.0
14	pleasant3.jpg	2	left	1.6	0.4	3	4	True	28.0	30.0
