Name,URL
Funx,http://icecast.omroep.nl/funx-bb-mp3
Qmusic,https://stream.qmusic.nl/qmusic/mp3
Radio 538,https://playerservices.streamtheworld.com/api/livestream-redirect/RADIO538.mp3
Sky Radio,https://19983.live.streamtheworld.com/SKYRADIO.mp3
NPO Radio 1,http://icecast.omroep.nl/radio1-bb-mp3
NPO Radio 2,http://icecast.omroep.nl/radio2-bb-mp3
NPO 3FM,http://icecast.omroep.nl/3fm-bb-mp3
NPO Radio 4 Klassiek,http://icecast.omroep.nl/radio4-bb-mp3
NPO Radio 5,http://icecast.omroep.nl/radio5-bb-mp3
NPO FunX,http://icecast.omroep.nl/funx-bb-mp3
Radio 10,https://19993.live.streamtheworld.com/RADIO10.mp3
100% NL,https://stream.100p.nl/100pctnl.mp3
SLAM!,https://stream.slam.nl/slam_mp3
BNR Nieuwsradio,https://stream.bnr.nl/bnr_mp3_128_03
Radio Veronica,https://22553.live.streamtheworld.com/VERONICA.mp3
Arrow Classic Rock,https://stream.player.arrow.nl/arrow
Sublime,https://stream.sublime.nl/Sublime_mp3
Classic NL,https://stream.classic.nl/classicnl-mindradio.mp3
